service_id,date,exception_type
COVID19-FEINER+DIV,20200416,1
FEINERS,20200511,2
COVID19-FEINER+DIV,20200511,1
FEINERS,20200414,2
COVID19-FEINER+DIV,20200414,1
FEINERS,20200401,2
COVID19-FEINER+DIV,20200401,1
FEINERS,20200331,2
COVID19-FEINER+DIV,20200331,1
FEINERS,20200330,2
COVID19-FEINER+DIV,20200330,1
DIVENDRES,20200327,2
COVID19-FEINER+DIV,20200327,1
FEINERS,20200326,2
COVID19-FEINER+DIV,20200326,1
FEINERS,20200325,2
COVID19-FEINER+DIV,20200325,1
FEINERS,20200324,2
COVID19-FEINER+DIV,20200324,1
FEINERS,20200323,2
COVID19-FEINER+DIV,20200323,1
DIVENDRES,20200320,2
COVID19-FEINER+DIV,20200320,1
FEINERS,20200319,2
COVID19-FEINER+DIV,20200319,1
FEINERS,20200318,2
COVID19-FEINER+DIV,20200318,1
FEINERS,20200317,2
COVID19-FEINER+DIV,20200317,1
DIVENDRES,20200508,2
COVID19-FEINER+DIV,20200508,1
FEINERS,20200415,2
COVID19-FEINER+DIV,20200415,1
DIUMENGES,20200524,2
COVID19-DIS-DIU,20200524,1
DISSABTES,20200523,2
COVID19-DIS-DIU,20200523,1
DIUMENGES,20200517,2
COVID19-DIS-DIU,20200517,1
DISSABTES,20200516,2
COVID19-DIS-DIU,20200516,1
DIUMENGES,20200510,2
COVID19-DIS-DIU,20200510,1
DISSABTES,20200509,2
COVID19-DIS-DIU,20200509,1
DIUMENGES,20200503,2
COVID19-DIS-DIU,20200503,1
DISSABTES,20200502,2
COVID19-DIS-DIU,20200502,1
DIVENDRES,20200501,2
COVID19-DIS-DIU,20200501,1
DIUMENGES,20200426,2
COVID19-DIS-DIU,20200426,1
DISSABTES,20200425,2
COVID19-DIS-DIU,20200425,1
DIUMENGES,20200419,2
COVID19-DIS-DIU,20200419,1
DIUMENGES,20200531,2
COVID19-DIS-DIU,20200531,1
FEINERS,20200413,2
COVID19-DIS-DIU,20200413,1
DIUMENGES,20200412,2
COVID19-DIS-DIU,20200412,1
DISSABTES,20200411,2
COVID19-DIS-DIU,20200411,1
DIVENDRES,20200410,2
COVID19-DIS-DIU,20200410,1
DIUMENGES,20200405,2
COVID19-DIS-DIU,20200405,1
DISSABTES,20200404,2
COVID19-DIS-DIU,20200404,1
DIUMENGES,20200329,2
COVID19-DIS-DIU,20200329,1
DISSABTES,20200328,2
COVID19-DIS-DIU,20200328,1
DIUMENGES,20200322,2
COVID19-DIS-DIU,20200322,1
DISSABTES,20200321,2
COVID19-DIS-DIU,20200321,1
DISSABTES,20200530,2
COVID19-DIS-DIU,20200530,1
DISSABTES,20200418,2
COVID19-DIS-DIU,20200418,1
FEINERS,20200407,2
COVID19-FEIN-DIV_50,20200407,1
FEINERS,20200406,2
COVID19-FEIN-DIV_50,20200406,1
FEINERS,20200409,2
COVID19-FEIN-DIV_50,20200409,1
FEINERS,20200402,2
COVID19-FEIN-DIV_50,20200402,1
FEINERS,20200408,2
COVID19-FEIN-DIV_50,20200408,1
DIVENDRES,20200403,2
COVID19-FEIN-DIV_50,20200403,1
FEINERS,20200603,2
COVID19-FEIN-DIV_80,20200603,1
FEINERS,20200602,2
COVID19-FEIN-DIV_80,20200602,1
DIVENDRES,20200529,2
COVID19-FEIN-DIV_80,20200529,1
FEINERS,20200528,2
COVID19-FEIN-DIV_80,20200528,1
FEINERS,20200527,2
COVID19-FEIN-DIV_80,20200527,1
FEINERS,20200526,2
COVID19-FEIN-DIV_80,20200526,1
FEINERS,20200525,2
COVID19-FEIN-DIV_80,20200525,1
DIVENDRES,20200522,2
COVID19-FEIN-DIV_80,20200522,1
DIVENDRES,20200605,2
COVID19-FEIN-DIV_80,20200605,1
FEINERS,20200520,2
COVID19-FEIN-DIV_80,20200520,1
FEINERS,20200519,2
COVID19-FEIN-DIV_80,20200519,1
FEINERS,20200518,2
COVID19-FEIN-DIV_80,20200518,1
DIVENDRES,20200515,2
COVID19-FEIN-DIV_80,20200515,1
FEINERS,20200514,2
COVID19-FEIN-DIV_80,20200514,1
FEINERS,20200513,2
COVID19-FEIN-DIV_80,20200513,1
FEINERS,20200512,2
COVID19-FEIN-DIV_80,20200512,1
FEINERS,20200604,2
COVID19-FEIN-DIV_80,20200604,1
FEINERS,20200521,2
COVID19-FEIN-DIV_80,20200521,1
DIUMENGES,20200607,2
COVID19-DIU_80,20200607,1
DIUMENGES,20200614,2
COVID19-DIU_80,20200614,1
DIUMENGES,20200621,2
COVID19-DIU_80,20200621,1
FEINERS,20200608,2
COVID19_FEIN_DIV_90,20200608,1
FEINERS,20200609,2
COVID19_FEIN_DIV_90,20200609,1
FEINERS,20200610,2
COVID19_FEIN_DIV_90,20200610,1
FEINERS,20200611,2
COVID19_FEIN_DIV_90,20200611,1
DIVENDRES,20200612,2
COVID19_FEIN_DIV_90,20200612,1
FEINERS,20200615,2
COVID19_FEIN_DIV_90,20200615,1
FEINERS,20200616,2
COVID19_FEIN_DIV_90,20200616,1
FEINERS,20200617,2
COVID19_FEIN_DIV_90,20200617,1
FEINERS,20200618,2
COVID19_FEIN_DIV_90,20200618,1
DIVENDRES,20200619,2
COVID19_FEIN_DIV_90,20200619,1
DIVENDRES,20201023,2
DIVENDRES_FINS24H,20201023,1
DIVENDRES,20201030,2
DIVENDRES_FINS24H,20201030,1
DIVENDRES,20200724,2
DIVENDRES_FINS24H,20200724,1
DIVENDRES,20201113,2
DIVENDRES_FINS24H,20201113,1
DIVENDRES,20201016,2
DIVENDRES_FINS24H,20201016,1
DIVENDRES,20201106,2
DIVENDRES_FINS24H,20201106,1
DIVENDRES,20201009,2
DIVENDRES_FINS24H,20201009,1
DIVENDRES,20201127,2
DIVENDRES_FINS24H,20201127,1
DIVENDRES,20200925,2
DIVENDRES_FINS24H,20200925,1
DIVENDRES,20200918,2
DIVENDRES_FINS24H,20200918,1
DIVENDRES,20200904,2
DIVENDRES_FINS24H,20200904,1
DIVENDRES,20200731,2
DIVENDRES_FINS24H,20200731,1
DIVENDRES,20201120,2
DIVENDRES_FINS24H,20201120,1
DIVENDRES,20200626,2
DIVENDRES_FINS24H,20200626,1
DIVENDRES,20201002,2
DIVENDRES_FINS24H,20201002,1
DIVENDRES,20201030,2
DIVENDRES_FINS24H,20201030,1
DIVENDRES,20201106,2
DIVENDRES_FINS24H,20201106,1
DIVENDRES,20201113,2
DIVENDRES_FINS24H,20201113,1
DIVENDRES,20200626,2
DIVENDRES_FINS24H,20200626,1
DIVENDRES,20201127,2
DIVENDRES_FINS24H,20201127,1
DIVENDRES,20201204,2
DIVENDRES_FINS24H,20201204,1
DIVENDRES,20201023,2
DIVENDRES_FINS24H,20201023,1
DIVENDRES,20201120,2
DIVENDRES_FINS24H,20201120,1
DIVENDRES,20201016,2
DIVENDRES_FINS24H,20201016,1
DIVENDRES,20201218,2
DIVENDRES_FINS24H,20201218,1
DIVENDRES,20201002,2
DIVENDRES_FINS24H,20201002,1
DIVENDRES,20200925,2
DIVENDRES_FINS24H,20200925,1
DIVENDRES,20200918,2
DIVENDRES_FINS24H,20200918,1
DIVENDRES,20200904,2
DIVENDRES_FINS24H,20200904,1
DIVENDRES,20200731,2
DIVENDRES_FINS24H,20200731,1
DIVENDRES,20200724,2
DIVENDRES_FINS24H,20200724,1
DIVENDRES,20201211,2
DIVENDRES_FINS24H,20201211,1
DIVENDRES,20201009,2
DIVENDRES_FINS24H,20201009,1
DIVENDRES,20201218,2
DIVENDRES_FINS24H,20201218,1
DIVENDRES,20201211,2
DIVENDRES_FINS24H,20201211,1
FEINERS,20201207,2
DIVENDRES_FINS24H,20201207,1
DIVENDRES,20201204,2
DIVENDRES_FINS24H,20201204,1
DIVENDRES,20201127,2
DIVENDRES_FINS24H,20201127,1
DIVENDRES,20201120,2
DIVENDRES_FINS24H,20201120,1
DIVENDRES,20201113,2
DIVENDRES_FINS24H,20201113,1
DIVENDRES,20201106,2
DIVENDRES_FINS24H,20201106,1
DIVENDRES,20201030,2
DIVENDRES_FINS24H,20201030,1
DIVENDRES,20201023,2
DIVENDRES_FINS24H,20201023,1
DIVENDRES,20201009,2
DIVENDRES_FINS24H,20201009,1
DIVENDRES,20201002,2
DIVENDRES_FINS24H,20201002,1
DIVENDRES,20200925,2
DIVENDRES_FINS24H,20200925,1
DIVENDRES,20200918,2
DIVENDRES_FINS24H,20200918,1
DIVENDRES,20200904,2
DIVENDRES_FINS24H,20200904,1
DIVENDRES,20200731,2
DIVENDRES_FINS24H,20200731,1
DIVENDRES,20200724,2
DIVENDRES_FINS24H,20200724,1
DIVENDRES,20200626,2
DIVENDRES_FINS24H,20200626,1
FEINERS,20201231,2
DIVENDRES_FINS24H,20201231,1
DIVENDRES,20201016,2
DIVENDRES_FINS24H,20201016,1
