,Agent_Commerce($),Agent_Commerce(#),Agent_Catering($),Agent_Catering(#),Agent_Health($),Agent_Health(#),Agent_Recreation($),Agent_Recreation(#),Agent_Transport($),Agent_Transport(#),Agent_Hotel($),Agent_Hotel(#),Agent_RealState($),Agent_RealState(#)
34,14300,143,0,0,0,0,0,0,13236,134,5514,56,0,0
35,21800,218,0,0,0,0,0,0,18761,190,7972,81,0,0
36,29098,291,0,0,0,0,0,0,24772,251,10619,108,0,0
37,36690,367,0,0,0,0,0,0,30479,309,13163,134,0,0
38,44461,445,0,0,0,0,0,0,36663,372,15802,161,0,0
39,54882,550,0,0,0,0,0,0,45299,460,19616,200,0,0
40,66060,663,100,1,0,0,0,0,54506,554,24215,247,0,0
41,76911,773,500,5,0,0,0,0,63597,647,27620,282,0,0
42,87339,879,800,8,0,0,0,0,71785,731,31797,325,0,0
43,101578,1024,2800,28,0,0,0,0,83312,849,37744,386,0,0
44,115671,1168,5400,54,0,0,0,0,95899,978,43586,446,0,0
45,129622,1311,9300,93,0,0,0,0,107474,1097,49707,509,0,0
46,143336,1452,15000,150,0,0,0,0,119999,1226,55823,572,0,0
47,156729,1590,25100,251,0,0,0,0,131421,1344,61725,633,0,0
48,171147,1739,37700,377,0,0,0,0,143300,1467,67622,694,0,0
49,184654,1879,55800,558,0,0,0,0,155351,1592,73600,756,0,0
50,198121,2019,75200,752,0,0,0,0,166690,1710,79459,817,0,0
51,212046,2164,97800,978,0,0,0,0,179081,1839,85501,880,0,0
52,224204,2291,121900,1219,0,0,0,0,190578,1959,91429,942,0,0
53,238259,2438,150800,1508,0,0,0,0,201940,2078,96671,997,0,0
54,251620,2578,179400,1794,0,0,0,0,213770,2202,102973,1063,0,0
55,263109,2699,206800,2068,0,0,0,0,224506,2315,108872,1125,0,0
56,276050,2835,236000,2360,0,0,0,0,236781,2444,114574,1185,0,0
57,289609,2978,261700,2617,0,0,0,0,249232,2575,120272,1245,0,0
58,299713,3085,283800,2838,0,0,0,0,259715,2686,126433,1310,0,0
59,311229,3207,308000,3080,0,0,0,0,271718,2813,132788,1377,0,0
60,322462,3326,327000,3270,0,0,0,0,283319,2936,138256,1435,0,0
61,331693,3424,367300,3673,0,0,0,0,291417,3022,142507,1480,0,0
62,339190,3504,381000,3810,0,0,0,0,300239,3116,147059,1528,0,0
63,345738,3574,392800,3928,0,0,0,0,309162,3211,152561,1586,0,0
64,353233,3654,402500,4025,0,0,0,0,317793,3303,155855,1621,0,0
65,359315,3719,431300,4313,0,0,0,0,323583,3365,159795,1663,0,0
66,367147,3802,436300,4363,0,0,0,0,329183,3425,163370,1701,0,0
67,374107,3876,440000,4400,0,0,0,0,334972,3487,166746,1737,0,0
68,380026,3939,442900,4429,0,0,0,0,340839,3550,170025,1772,0,0
69,385597,3998,469100,4691,0,0,0,0,344485,3589,172118,1794,0,0
70,394147,4088,471000,4710,0,0,0,0,347742,3624,174022,1814,0,0
71,397917,4128,472300,4723,0,0,0,0,350412,3653,175827,1833,0,0
72,401599,4167,472800,4728,0,0,0,0,352587,3677,178019,1856,0,0
73,404079,4193,498500,4985,0,0,0,0,353846,3690,178407,1860,0,0
74,407450,4228,499100,4991,0,0,0,0,353846,3690,178407,1860,0,0
75,409280,4247,499600,4996,0,0,0,0,353846,3690,178407,1860,0,0
76,410827,4263,499700,4997,0,0,0,0,353846,3690,178407,1860,0,0
77,411693,4272,499800,4998,0,0,0,0,353846,3690,178407,1860,0,0
78,412554,4281,500000,5000,0,0,0,0,353846,3690,178407,1860,0,0
79,412941,4285,500000,5000,0,0,100,1,353846,3690,178407,1860,0,0
80,413037,4286,500000,5000,0,0,200,2,353846,3690,178407,1860,0,0
81,413134,4287,500000,5000,0,0,300,3,353846,3690,178407,1860,0,0
82,413425,4290,500000,5000,0,0,500,5,353846,3690,178407,1860,0,0
83,413425,4290,500000,5000,0,0,700,7,353846,3690,178407,1860,0,0
84,413425,4290,500000,5000,0,0,800,8,353846,3690,178407,1860,0,0
85,413425,4290,500000,5000,0,0,1000,10,353846,3690,178407,1860,0,0
86,413425,4290,500000,5000,0,0,1400,14,353846,3690,178407,1860,0,0
87,413425,4290,500100,5001,0,0,2200,22,353846,3690,178407,1860,0,0
88,413425,4290,500300,5003,0,0,3300,33,353846,3690,178407,1860,0,0
89,413425,4290,500700,5007,0,0,4200,42,353846,3690,178407,1860,0,0
90,413425,4290,501400,5014,0,0,4900,49,353846,3690,178407,1860,0,0
91,413425,4290,502200,5022,0,0,6900,69,353846,3690,178407,1860,0,0
92,413425,4290,503500,5035,0,0,8000,80,353846,3690,178407,1860,0,0
93,413425,4290,504900,5049,0,0,10000,100,353846,3690,178407,1860,0,0
94,413425,4290,506600,5066,0,0,12400,124,353846,3690,178407,1860,0,0
95,413425,4290,509500,5095,0,0,14200,142,353846,3690,178407,1860,0,0
96,413425,4290,513800,5138,0,0,17200,172,353846,3690,178407,1860,0,0
97,413425,4290,518200,5182,0,0,19600,196,353846,3690,178407,1860,0,0
98,413425,4290,521000,5210,0,0,19600,196,353846,3690,178407,1860,0,0
99,413425,4290,524800,5248,0,0,19600,196,353846,3690,178407,1860,0,0
100,413425,4290,529700,5297,0,0,19600,196,353846,3690,178407,1860,0,0
101,413425,4290,535700,5357,0,0,19600,196,353846,3690,178407,1860,0,0
102,413425,4290,541500,5415,0,0,19600,196,353846,3690,178407,1860,0,0
103,413425,4290,549700,5497,0,0,19600,196,353846,3690,178407,1860,0,0
104,413425,4290,557800,5578,0,0,19600,196,353846,3690,178407,1860,0,0
105,413425,4290,566300,5663,0,0,19600,196,353846,3690,178407,1860,0,0
106,413425,4290,576500,5765,0,0,19600,196,353846,3690,178407,1860,0,0
107,413425,4290,582100,5821,0,0,19600,196,353846,3690,178407,1860,0,0
108,413425,4290,589700,5897,0,0,19600,196,353846,3690,178407,1860,0,0
109,413425,4290,596200,5962,0,0,19600,196,353846,3690,178407,1860,0,0
110,413425,4290,602600,6026,0,0,19600,196,353846,3690,178407,1860,0,0
111,413425,4290,609200,6092,0,0,19600,196,353846,3690,178407,1860,0,0
112,413425,4290,612900,6129,0,0,19600,196,353846,3690,178407,1860,0,0
113,413425,4290,615900,6159,0,0,19600,196,353846,3690,178407,1860,0,0
114,413425,4290,618200,6182,0,0,19600,196,353846,3690,178407,1860,0,0
115,413425,4290,619300,6193,0,0,19600,196,353846,3690,178407,1860,0,0
116,413425,4290,620100,6201,0,0,19600,196,353846,3690,178407,1860,0,0
117,413425,4290,620200,6202,0,0,19600,196,353846,3690,178407,1860,0,0
118,413425,4290,620200,6202,0,0,19600,196,353846,3690,178407,1860,0,0
119,413425,4290,620200,6202,0,0,19600,196,353846,3690,178407,1860,0,0
120,413425,4290,620200,6202,0,0,19600,196,353846,3690,178407,1860,0,0
121,413425,4290,620200,6202,0,0,19600,196,353846,3690,178407,1860,0,0
122,413425,4290,620300,6203,0,0,19600,196,353846,3690,178407,1860,0,0
123,413425,4290,620300,6203,0,0,19600,196,353846,3690,178407,1860,0,0
124,413425,4290,620300,6203,0,0,19600,196,353846,3690,178407,1860,0,0
125,416333,4321,620300,6203,0,0,19600,196,356547,3719,178635,1863,0,0
126,419144,4351,620300,6203,0,0,19600,196,359912,3755,178862,1866,0,0
127,422340,4385,620300,6203,0,0,19600,196,363086,3789,178993,1868,0,0
128,425714,4421,620300,6203,0,0,19600,196,366064,3821,179122,1870,0,0
129,431233,4480,621786,6218,0,0,19600,196,371808,3883,179422,1874,0,0
130,436748,4539,623370,6234,0,0,19600,196,377076,3940,179721,1878,0,0
131,443676,4613,624956,6250,0,0,19600,196,382617,4000,179844,1880,0,0
132,448423,4664,626738,6268,0,0,19600,196,388811,4067,180121,1884,0,0
133,456027,4746,631582,6317,0,0,19600,196,396515,4151,180449,1889,0,0
134,463436,4826,638109,6383,0,0,19600,196,404796,4241,181022,1897,0,0
135,471249,4910,644238,6445,0,0,19600,196,412573,4326,181418,1903,0,0
136,479871,5003,651154,6515,0,0,19600,196,420920,4417,181810,1909,0,0
137,490526,5118,662028,6625,0,0,19600,196,431960,4538,182267,1916,0,0
138,501170,5233,673985,6746,0,0,19600,196,443849,4668,182807,1924,0,0
139,512202,5352,684651,6854,0,0,19600,196,455341,4794,183266,1931,0,0
140,522884,5468,697777,6987,0,0,19600,196,466644,4918,183708,1938,0,0
141,535014,5599,708135,7092,0,0,19600,196,476402,5026,184144,1945,0,0
142,544695,5704,720241,7215,0,0,19600,196,487733,5151,184498,1951,0,0
143,557110,5839,731462,7329,0,0,19600,196,499133,5277,184847,1957,0,0
144,568172,5959,742666,7443,0,0,19600,196,509863,5396,185191,1963,0,0
145,577530,6061,753659,7555,0,0,19600,196,521206,5521,185529,1969,0,0
146,587404,6169,765334,7674,0,0,19600,196,531651,5638,185863,1975,0,0
147,599404,6299,776527,7788,0,0,19600,196,543064,5765,186192,1981,0,0
148,609495,6409,787891,7904,0,0,19600,196,555178,5900,186516,1987,0,0
149,617457,6497,799261,8020,0,0,19600,196,565463,6015,186836,1993,0,0
150,625669,6587,811710,8147,0,0,19600,196,576135,6135,187092,1998,0,0
151,634640,6685,823352,8266,0,0,19600,196,586377,6250,187461,2005,0,0
152,642336,6770,835787,8393,0,0,19600,196,597667,6377,187697,2010,0,0
153,650158,6856,848599,8524,0,0,19600,196,608291,6497,188068,2017,0,0
154,657693,6939,858283,8623,0,0,19600,196,620079,6629,188296,2022,0,0
155,662511,6993,871111,8754,0,0,19600,196,630483,6747,188588,2028,0,0
156,669270,7068,880593,8851,0,0,19600,196,641338,6869,188944,2035,0,0
157,674959,7131,902377,9073,0,0,19600,196,649661,6964,189230,2040,0,0
158,679252,7178,912847,9180,0,0,19600,196,657493,7053,189436,2044,0,0
159,683281,7223,924689,9301,0,0,19600,196,665766,7147,189571,2047,0,0
160,687554,7270,935658,9413,0,0,19600,196,672848,7228,189703,2050,0,0
161,690514,7303,957113,9632,0,0,19600,196,679853,7308,190443,2061,0,0
162,694415,7346,965759,9720,0,0,19600,196,684399,7361,190638,2065,0,0
163,697589,7381,973910,9803,0,0,19600,196,690062,7426,190761,2068,0,0
164,700215,7410,982648,9892,0,0,19600,196,695744,7491,190882,2071,0,0
165,702562,7436,1000476,10074,0,0,19600,196,698163,7520,191317,2077,0,0
166,706508,7479,1007145,10142,0,0,19600,196,701166,7555,191365,2078,0,0
167,709003,7507,1013047,10202,0,0,19600,196,703694,7585,191412,2079,0,0
168,710560,7524,1018568,10258,0,0,19600,196,706776,7621,191458,2080,0,0
169,712980,7550,1036441,10440,0,0,19600,196,707239,7626,191636,2082,0,0
170,716227,7585,1041563,10492,0,0,19600,196,707239,7626,191636,2082,0,0
171,718169,7606,1046781,10545,0,0,19600,196,707239,7626,191636,2082,0,0
172,720218,7628,1051301,10591,0,0,19600,196,707239,7626,191636,2082,0,0
173,721807,7645,1055136,10630,0,0,19600,196,707239,7626,191636,2082,0,0
174,723678,7665,1058487,10664,0,0,19600,196,707239,7626,191636,2082,0,0
175,725516,7685,1061446,10694,0,0,19600,196,707239,7626,191636,2082,0,0
176,727366,7705,1063321,10713,0,0,19600,196,707239,7626,191725,2083,0,0
177,728741,7720,1065675,10737,0,0,19600,196,707239,7626,191725,2083,0,0
178,730047,7734,1067943,10760,0,0,19600,196,707239,7626,191725,2083,0,0
179,731453,7749,1070107,10782,0,0,19600,196,707239,7626,191725,2083,0,0
180,732019,7755,1072571,10807,0,0,19600,196,707239,7626,191725,2083,0,0
181,732962,7765,1074538,10827,0,0,19600,196,707239,7626,191725,2083,0,0
182,733896,7775,1076602,10848,0,0,19600,196,707239,7626,191725,2083,0,0
183,735552,7793,1079165,10874,0,0,19600,196,707239,7626,191725,2083,0,0
184,736294,7801,1082418,10907,0,0,19600,196,707239,7626,191725,2083,0,0
185,736951,7808,1085277,10936,0,0,19600,196,707239,7626,191725,2083,0,0
186,737689,7816,1088430,10968,0,0,19600,196,707239,7626,191725,2083,0,0
187,738052,7820,1092174,11006,0,0,19600,196,707239,7626,191725,2083,0,0
188,738607,7826,1096019,11045,0,0,19600,196,707239,7626,191725,2083,0,0
189,738981,7830,1101053,11096,0,0,19600,196,707239,7626,191725,2083,0,0
190,739533,7836,1105190,11138,0,0,19600,196,707239,7626,191725,2083,0,0
191,739629,7837,1109820,11185,0,0,19600,196,707239,7626,191725,2083,0,0
192,740000,7841,1115447,11242,0,0,19600,196,707239,7626,191725,2083,0,0
193,740375,7845,1120973,11298,0,0,19600,196,707239,7626,191725,2083,0,0
194,740559,7847,1124900,11338,0,0,19600,196,707239,7626,191725,2083,0,0
195,740559,7847,1128638,11376,0,0,19600,196,707239,7626,191725,2083,0,0
196,740827,7850,1131790,11408,0,0,19600,196,707239,7626,191725,2083,0,0
197,741097,7853,1134742,11438,0,0,19600,196,707239,7626,191725,2083,0,0
198,741369,7856,1138575,11477,0,0,19600,196,707239,7626,191725,2083,0,0
199,741551,7858,1141332,11505,0,0,19600,196,707239,7626,191725,2083,0,0
200,741551,7858,1144183,11534,0,0,19600,196,707239,7626,191725,2083,0,0
201,741551,7858,1146347,11556,0,0,19600,196,707239,7626,191725,2083,0,0
202,741733,7860,1149306,11586,0,0,19600,196,707239,7626,191725,2083,0,0
203,741820,7861,1150884,11602,0,0,19600,196,707239,7626,191725,2083,0,0
204,741913,7862,1153050,11624,0,0,19600,196,707239,7626,191725,2083,0,0
205,741913,7862,1154926,11643,0,0,19600,196,707239,7626,191725,2083,0,0
206,742006,7863,1155618,11650,0,0,19600,196,707239,7626,191725,2083,0,0
207,742286,7866,1156902,11663,0,0,19600,196,707239,7626,191725,2083,0,0
208,742381,7867,1157988,11674,0,0,19600,196,707239,7626,191725,2083,0,0
209,742381,7867,1158581,11680,0,0,19600,196,707239,7626,191725,2083,0,0
210,742381,7867,1158977,11684,0,0,19600,196,707239,7626,191725,2083,0,0
211,742381,7867,1159769,11692,0,0,19600,196,707239,7626,191725,2083,0,0
212,742381,7867,1159868,11693,0,0,19600,196,707239,7626,191725,2083,0,0
213,742381,7867,1160066,11695,0,0,19600,196,707239,7626,191725,2083,0,0
214,742472,7868,1160363,11698,0,0,19600,196,707239,7626,191725,2083,0,0
215,742472,7868,1160561,11700,0,0,19600,196,707239,7626,191725,2083,0,0
216,742472,7868,1160957,11704,0,0,19600,196,707239,7626,191725,2083,0,0
217,742558,7869,1161353,11708,0,0,19600,196,707239,7626,191725,2083,0,0
218,742558,7869,1161551,11710,0,0,19600,196,707239,7626,191725,2083,0,0
219,742558,7869,1161848,11713,0,0,19600,196,707239,7626,191725,2083,0,0
220,742558,7869,1161848,11713,0,0,19600,196,707239,7626,191725,2083,0,0
221,742653,7870,1161848,11713,0,0,19600,196,709955,7657,191798,2085,0,0
222,742653,7870,1162040,11715,0,0,19600,196,712943,7691,191869,2087,0,0
223,742653,7870,1162040,11715,0,0,19600,196,715746,7723,191938,2089,0,0
224,742653,7870,1162609,11721,0,0,19600,196,718820,7758,192005,2091,0,0
225,742653,7870,1166732,11764,0,0,19600,196,723232,7809,192070,2093,0,0
226,742653,7870,1171877,11818,0,0,19600,196,729198,7877,192133,2095,0,0
227,742653,7870,1177113,11873,0,0,19600,196,734764,7941,192194,2097,0,0
228,742653,7870,1183283,11938,0,0,19600,196,739883,8000,192253,2099,0,0
229,742653,7870,1197194,12083,0,0,19600,196,747936,8093,192448,2104,0,0
230,742653,7870,1211920,12237,0,0,19600,196,755262,8178,192639,2109,0,0
231,742653,7870,1227267,12398,0,0,19600,196,763506,8273,192758,2113,0,0
232,742653,7870,1242197,12555,0,0,19679,197,770464,8354,193009,2119,0,0
233,742653,7870,1263505,12778,0,0,19757,198,781099,8479,193165,2124,0,0
234,742842,7872,1286754,13022,0,0,19834,199,791601,8602,193317,2129,0,0
235,742938,7873,1307438,13240,0,0,19910,200,801843,8722,193464,2134,0,0
236,742938,7873,1328182,13459,0,0,20060,202,812011,8841,193607,2139,0,0
237,743024,7874,1349355,13683,0,0,20208,204,822445,8965,193746,2144,0,0
238,743197,7876,1366637,13867,0,0,20354,206,833735,9098,193882,2149,0,0
239,743380,7878,1382404,14035,0,0,20498,208,842963,9208,194014,2154,0,0
240,743477,7879,1395941,14180,0,0,20640,210,853353,9331,194143,2159,0,0
241,743573,7880,1410342,14334,0,0,20780,212,863603,9453,194270,2164,0,0
242,743764,7882,1421635,14455,0,0,20918,214,874259,9580,194394,2169,0,0
243,743948,7884,1432594,14573,0,0,21123,217,884512,9702,194516,2174,0,0
244,744230,7887,1442223,14677,0,0,21392,221,895488,9833,194635,2179,0,0
245,744576,7891,1450058,14762,0,0,21658,225,905781,9956,194754,2184,0,0
246,744942,7895,1457363,14841,0,0,21920,229,915768,10076,194873,2189,0,0
247,745113,7897,1463985,14913,0,0,22241,234,925407,10193,194991,2194,0,0
248,745580,7902,1470455,14984,0,0,22557,239,935492,10314,195109,2199,0,0
249,745841,7905,1474748,15030,0,0,22930,245,945698,10437,195227,2204,0,0
250,746366,7911,1479380,15080,0,0,23297,251,955190,10553,195344,2209,0,0
251,746633,7914,1482537,15114,0,0,23777,259,966139,10685,195461,2214,0,0
252,747264,7921,1485239,15143,0,0,24250,267,975490,10798,195541,2218,0,0
253,747699,7926,1511686,15422,0,0,24540,272,984354,10906,195653,2222,0,0
254,748131,7931,1514343,15450,0,0,24941,279,991683,10995,195729,2225,0,0
255,748680,7937,1516565,15473,0,0,25335,286,998678,11082,195804,2228,0,0
256,749197,7943,1518585,15494,0,0,25722,293,1005900,11171,195879,2231,0,0
257,749540,7947,1540916,15731,0,0,26048,299,1011707,11241,195953,2234,0,0
258,749995,7952,1542523,15748,0,0,26368,305,1016549,11302,196027,2237,0,0
259,750558,7958,1543403,15757,0,0,26682,311,1021253,11361,196101,2240,0,0
260,751068,7964,1545643,15780,0,0,26990,317,1025545,11415,196174,2243,0,0
261,751582,7970,1567086,16008,0,0,27243,322,1029180,11460,196411,2247,0,0
262,751954,7974,1567966,16017,0,0,27491,327,1031866,11494,196443,2248,0,0
263,752400,7979,1569025,16028,0,0,27734,332,1034723,11530,196475,2249,0,0
264,752684,7982,1569898,16037,0,0,27973,337,1036866,11558,196507,2250,0,0
265,752950,7985,1589625,16246,0,0,27973,337,1037220,11562,196507,2250,0,0
266,753131,7987,1590484,16255,0,0,27973,337,1037220,11562,196507,2250,0,0
267,753131,7987,1591553,16266,0,0,27973,337,1037220,11562,196507,2250,0,0
268,753131,7987,1591746,16268,0,0,27973,337,1037220,11562,196507,2250,0,0
269,753225,7988,1592421,16275,0,0,27973,337,1037220,11562,196507,2250,0,0
270,753225,7988,1593190,16283,0,0,27973,337,1037220,11562,196507,2250,0,0
271,753225,7988,1593761,16289,0,0,27973,337,1037220,11562,196507,2250,0,0
272,753406,7990,1594123,16293,0,0,27973,337,1037220,11562,196507,2250,0,0
273,753493,7991,1594887,16301,0,0,27973,337,1037220,11562,196507,2250,0,0
274,753493,7991,1596283,16316,0,0,27973,337,1037220,11562,196507,2250,0,0
275,753493,7991,1597575,16330,0,0,27973,337,1037220,11562,196507,2250,0,0
276,753581,7992,1599761,16353,0,0,27973,337,1037220,11562,196507,2250,0,0
277,753670,7993,1603628,16394,0,0,27973,337,1037220,11562,196507,2250,0,0
278,753936,7996,1607885,16439,0,0,27973,337,1037220,11562,196507,2250,0,0
279,754092,7998,1611626,16479,0,0,27973,337,1037220,11562,196507,2250,0,0
280,754092,7998,1616860,16534,0,0,27973,337,1037220,11562,196507,2250,0,0
281,754272,8000,1624144,16611,0,0,27973,337,1037220,11562,196507,2250,0,0
282,754349,8001,1631551,16689,0,0,27973,337,1037220,11562,196507,2250,0,0
283,754792,8006,1638545,16763,0,0,27973,337,1037220,11562,196507,2250,0,0
284,754968,8008,1646973,16852,0,0,27973,337,1037220,11562,196507,2250,0,0
285,755154,8010,1658718,16976,0,0,27973,337,1037220,11562,196507,2250,0,0
286,755250,8011,1667550,17069,0,0,27973,337,1037220,11562,196507,2250,0,0
287,755415,8013,1677493,17174,0,0,27973,337,1037220,11562,196507,2250,0,0
288,755693,8016,1687452,17279,0,0,27973,337,1037220,11562,196507,2250,0,0
289,756048,8020,1697913,17389,0,0,27973,337,1037220,11562,196507,2250,0,0
290,756048,8020,1704077,17455,0,0,27973,337,1037220,11562,196507,2250,0,0
291,756048,8020,1711398,17533,0,0,27973,337,1037220,11562,196507,2250,0,0
292,756048,8020,1717077,17593,0,0,27973,337,1037220,11562,196507,2250,0,0
293,756048,8020,1722770,17653,0,0,27973,337,1037220,11562,196507,2250,0,0
294,756144,8021,1728844,17718,0,0,27973,337,1037220,11562,196507,2250,0,0
295,756144,8021,1733487,17767,0,0,27973,337,1037220,11562,196507,2250,0,0
296,756144,8021,1738639,17822,0,0,27973,337,1037220,11562,196507,2250,0,0
297,756144,8021,1743304,17871,0,0,27973,337,1037220,11562,196507,2250,0,0
298,756144,8021,1746778,17908,0,0,27973,337,1037220,11562,196507,2250,0,0
299,756144,8021,1750955,17952,0,0,27973,337,1037220,11562,196507,2250,0,0
300,756144,8021,1755333,17998,0,0,27973,337,1037220,11562,196507,2250,0,0
301,756144,8021,1758443,18031,0,0,27973,337,1037220,11562,196507,2250,0,0
302,756144,8021,1761933,18068,0,0,27973,337,1037220,11562,196507,2250,0,0
303,756144,8021,1765400,18104,0,0,27973,337,1037220,11562,196507,2250,0,0
304,756144,8021,1767961,18131,0,0,27973,337,1037220,11562,196507,2250,0,0
305,756144,8021,1770902,18162,0,0,27973,337,1037220,11562,196507,2250,0,0
306,756240,8022,1773276,18187,0,0,27973,337,1037220,11562,196507,2250,0,0
307,756240,8022,1775008,18205,0,0,27973,337,1037220,11562,196507,2250,0,0
308,756336,8023,1777109,18227,0,0,27973,337,1037220,11562,196507,2250,0,0
309,756336,8023,1779868,18256,0,0,27973,337,1037220,11562,196507,2250,0,0
310,756432,8024,1781846,18277,0,0,27973,337,1037220,11562,196507,2250,0,0
311,756432,8024,1783554,18295,0,0,27973,337,1037220,11562,196507,2250,0,0
312,756432,8024,1785163,18312,0,0,27973,337,1037220,11562,196507,2250,0,0
313,756432,8024,1786577,18327,0,0,27973,337,1037220,11562,196507,2250,0,0
314,756432,8024,1787900,18341,0,0,27973,337,1037220,11562,196507,2250,0,0
315,756432,8024,1789666,18360,0,0,27973,337,1037220,11562,196507,2250,0,0
316,756432,8024,1790812,18372,0,0,27973,337,1037220,11562,196507,2250,0,0
317,756432,8024,1795286,18422,0,0,28148,340,1039085,11585,196547,2252,0,0
318,756432,8024,1800060,18476,0,0,28320,343,1042082,11621,196587,2254,0,0
319,756432,8024,1804005,18521,0,0,28490,346,1044818,11654,196627,2256,0,0
320,756432,8024,1807697,18563,0,0,28657,349,1047990,11692,196667,2258,0,0
321,756432,8024,1813498,18629,0,0,28820,352,1051906,11740,196707,2260,0,0
322,756528,8025,1820458,18707,0,0,29089,357,1057219,11804,196747,2262,0,0
323,756528,8025,1827889,18791,0,0,29299,361,1062082,11864,196787,2264,0,0
324,756528,8025,1833557,18856,0,0,29505,365,1067975,11935,196827,2266,0,0
325,756528,8025,1840362,18933,0,0,29756,370,1073561,12004,196907,2270,0,0
326,756528,8025,1847091,19009,0,0,30002,375,1081253,12098,196987,2274,0,0
327,756528,8025,1853224,19078,0,0,30243,380,1089058,12194,197067,2278,0,0
328,756624,8026,1859142,19146,0,0,30479,385,1096164,12281,197147,2282,0,0
329,756624,8026,1864971,19213,0,0,30944,395,1104244,12383,197258,2287,0,0
330,756720,8027,1872479,19297,0,0,31399,405,1113728,12503,197369,2292,0,0
331,756720,8027,1878892,19370,0,0,31844,415,1123573,12626,197480,2297,0,0
332,756720,8027,1884504,19434,0,0,32279,425,1133912,12754,197591,2302,0,0
333,756814,8028,1888890,19484,0,0,32704,435,1141660,12853,197651,2305,0,0
334,756814,8028,1893599,19537,0,0,33119,445,1151510,12976,197811,2312,0,0
335,757103,8031,1899030,19599,0,0,33524,455,1160183,13086,197921,2317,0,0
336,757388,8034,1903820,19652,0,0,33919,465,1169499,13204,198031,2322,0,0
337,757484,8035,1909236,19712,0,0,34266,474,1178483,13318,198141,2327,0,0
338,757484,8035,1913817,19763,0,0,34680,485,1187334,13429,198251,2332,0,0
339,757484,8035,1917447,19803,0,0,35047,495,1196796,13549,198331,2336,0,0
340,757484,8035,1923180,19866,0,0,35404,505,1205536,13661,198469,2342,0,0
341,757580,8036,1927711,19916,0,0,35751,515,1214863,13780,198549,2346,0,0
342,757675,8037,1930661,19949,0,0,36089,525,1222460,13879,198629,2350,0,0
343,757861,8039,1934353,19990,0,0,36417,535,1230754,13986,198709,2354,0,0
344,757955,8040,1937073,20020,0,0,36735,545,1238789,14090,198789,2358,0,0
345,758238,8043,1940545,20058,0,0,37043,555,1246540,14192,198869,2362,0,0
346,758238,8043,1942550,20080,0,0,37341,565,1252153,14268,198949,2366,0,0
347,758426,8045,1944618,20103,0,0,37629,575,1258940,14358,199029,2370,0,0
348,758426,8045,1946850,20128,0,0,37907,585,1265002,14439,199109,2374,0,0
349,758522,8046,1966627,20350,0,0,38094,592,1274894,14565,199178,2377,0,0
350,758619,8047,1968174,20368,0,0,38274,599,1286060,14706,199218,2379,0,0
351,758714,8048,1969991,20388,0,0,38447,606,1296393,14839,199286,2382,0,0
352,759000,8051,1971848,20409,0,0,38613,613,1304487,14944,199326,2384,0,0
353,759095,8052,1986498,20577,0,0,38750,619,1312129,15043,199450,2389,0,0
354,759288,8054,1987709,20591,0,0,38881,625,1318342,15124,199490,2391,0,0
